SamAccountName		userAccountControl
cblima	true	512
cbnascimento	true	512
CBorges	true	512
cbraga	true	512
cbribeiro	true	512
CBSantos	true	512
cbusson	true	512
ccanuto	true	512
ccarvalho	true	512
ccastro	true	512
ccati	true	512
ccgoncalves	true	512
cchagas	true	512
ccoliveira	true	544
ccorrea	true	512
ccsantos	true	512
CDamasceno	true	512
cdbsouza	true	512
cefigueiredo	true	512
celima	true	512
cersilva	true	544
Cesilva	true	512
cfantoni	true	512
CFaria	true	512
cfarias	true	512
cfcalmeida	true	512
cfeitoza	true	512
cfelix	true	512
cflorentino	true	512
cfoliveira	true	512
Cfraga	#N/D	512
cfreitas	true	544
cfsilva	true	512
cgalves	true	512
cgarcia	true	512
cgoncalves	true	544
cgsilva	true	544
chacosta	true	512
chandrade	true	512
charles.junior	#N/D	512
chbraga	true	512
ChLSilva	true	512
choliveira	true	512
cinsantos	true	512
cisalves	true	512
cisidoro	true	512
cjesus	true	512
cjlopes	true	512
cjmoraes	true	512
cjustino	true	512
clasilva	true	512
claudsilva	true	512
Clausilva	true	512
clbarbosa	true	512
cleal	true	512
clesilva	true	512
clfilho	true	512
clgoncalves	true	512
clmoura	true	512
clsantos	true	512
clsilva	true	512
clssilva	true	512
cmboche	true	512
cmcunha	true	512
cmedeiros	true	512
cmeireles	true	512
cmelo	true	512
cmenicucci	true	512
cmiranda	true	544
cmnsilva	true	512
cmoura	true	512
cmuller	true	512
cnascimento	true	544
cnovaes	true	512
coguimaraes	true	512
coliveira	true	512
con_arsilva	true	512
con_sboiteux	true	512
con_Sfranzolin	true	512
con-aagaspar	true	512
con-aanunciacao	true	544
con-aastori	true	512
con-abarros	#N/D	544
con-abartolo	true	544
con-abattisti	true	512
con-abrsilva	true	512
con-absilva	true	544
con-acaguiar	true	512
con-acarreri	true	544
con-acarvalho	true	512
con-acbsilva	true	544
con-acmoura	true	544
con-acpaula	true	512
con-acsaraujo	true	544
con-acsilva	true	544
con-aentringer	#N/D	512
con-afarias	true	512
con-afoching	true	512
con-afrodrigues	true	512
con-agcarvalho	true	544
con-aghigo	true	512
con-aisilva	true	544
con-aksantos	#N/D	544
con-akung	true	512
con-alacerda	true	544
con-alaupereira	true	544
con-alivi	#N/D	512
con-allsilva	true	544
con-aloliveira	true	544
con-alpereira	true	512
con-alsantos	true	544
con-alssouza	true	544
con-amalmeida	true	544
con-amoreira	true	512
con-amoreno	true	512
con-amsantos	true	544
con-amssantos	true	512
con-ancsouza	true	544
con-anmartins	true	544
con-anovaes	true	512
con-aooliveira	true	544
con-apaula	#N/D	512
con-apavao	true	544
con-apimentel	true	512
con-apozzani	true	544
con-aramos	true	512
con-aroliveira	true	544
con-asaraujo	true	544
con-asbastos	true	512
con-aschitti	#N/D	512
con-asfernandes	true	544
con-asilverio	true	544
con-aspereira	true	544
con-aspessatto	true	544
con-assouza	true	544
con-athormann	true	544
con-ausilva	true	512
con-aviana	true	512
con-avoliveira	true	512
con-avsilva	true	544
con-ayousef	true	544
con-azipt	#N/D	512
con-bazevedo	true	512
con-bbsilva	true	544
con-bcastro	true	512
con-bcruz	true	544
con-besteves	true	512
con-bfamaral	true	544
con-bfsantos	true	544
con-bgoncalves	true	544
con-bhartog	#N/D	512
con-bleivas	true	544
con-blira	#N/D	512
con-bluna	true	544
con-bmachado	true	512
con-bmoliveira	true	544
con-bmulhmann	#N/D	512
con-boliveira	true	512
con-bpires	true	544
con-bpmachado	true	544
con-brusilva	true	512
con-bsmarques	true	544
con-btocantins	true	512
con-cafilho	true	544
con-calmeida	true	544
con-caraujo	true	512
con-carruda	true	544
con-cazevedo	true	544
con-cbarros	true	544
con-cbrandao	true	544
con-ccunha	true	544
con-cecolini	#N/D	512
con-cfabri	true	544
con-cfilho	true	512
con-cfpereira	true	544
con-cfreitas	true	544
con-cjonas	#N/D	512
con-clira	#N/D	512
con-cmafra	true	512
con-cmelo	true	544
con-cmenegassi	true	544
con-cmota	true	544
con-cpsoares	true	544
con-crjunior	true	512
con-crribeiro	true	512
con-crrodrigues	true	544
con-crsantos	true	544
con-csabion	true	544
con-csampaio	true	512
con-ctribeiro	true	544
con-daquino	true	544
con-dasilva	true	544
con-dbarboza	true	512
con-dbernardo	true	544
con-dboaventura	true	544
con-dboliveira	true	512
con-dcaldeira	true	544
con-dcasale	true	512
con-dcoelho	true	544
con-dduarte	true	544
con-desouza	true	512
con-disantos	true	544
con-dmartines	#N/D	512
con-dmcunha	true	544
con-dmoreira	true	544
con-dmoura	true	544
con-dmsilva	true	512
con-dmsoares	true	544
con-dpaula	true	544
con-dpsoares	true	512
con-dquevedo	true	544
con-dribeiro	true	544
con-dsanto21	true	512
con-DSILVA39	#N/D	512
con-dsrocha	true	512
con-dtome	true	512
con-dygomes	#N/D	512
con-earaujo	true	544
con-eblima	true	512
con-ecorreia	true	512
con-ecoutinho	true	512
con-ecutrim	true	544
con-eduarte	true	512
con-efagundes	true	544
con-eggomes	true	512
con-ehferreira	true	544
con-elamblet	true	512
con-eluz	true	544
con-emachado	true	544
con-enagasaki	true	544
con-enascimento	true	512
con-epires	true	544
con-erebello	#N/D	512
con-eribeiro	true	544
con-erufino	true	544
con-esantana	true	544
con-evaltolini	#N/D	512
con-evinhas	#N/D	544
con-exavier	true	544
con-farsantos	true	544
con-fbergstrom	true	544
con-fbitello	true	512
con-fcarlos	true	544
con-fcicarano	true	544
con-fdallolio	true	512
con-fdomingues	true	544
con-felima	true	512
con-femarques	true	512
con-fguimaraes	true	512
con-fhsilva	true	512
con-flsantos	true	544
con-fmachado	true	544
con-fnunes	true	544
con-freis	true	544
con-fsilva	true	512
con-ftmsantos	true	512
con-fwehmeister	#N/D	512
con-fzani	true	544
con-gaalmeida	true	544
con-gagoncalves	true	512
con-galcantara	true	544
con-garsilva	true	512
con-gborges	true	544
con-gbusinhani	#N/D	512
con-gcastilhos	true	544
con-gchiapin	true	544
con-gcolzani	#N/D	512
con-gconink	true	544
con-gcruz	true	512
con-gdavid	true	544
con-gdechoum	true	512
con-geosouza	#N/D	544
con-gferracioli	true	544
con-gflores	true	512
con-ggouveia	true	544
con-ghgonzalez	true	544
con-gleite	true	544
con-glferreira	true	544
con-glinhares	true	512
con-gmacedo	true	512
con-gmaion	#N/D	512
